Points_0,Points_1,Points_2,Points_Magnitude,Point ID
0,1,4.6,4.70744,192
0,1,4.58,4.6879,193
0,1,4.56,4.66836,194
0,1,4.54,4.64883,195
0,1,4.52,4.6293,196
0,1,4.5,4.60977,197
0,1,4.48,4.59025,198
0,1,4.46,4.57073,199
0,1,4.44,4.55122,200
0,1,4.42,4.53171,201
0,1,4.4,4.51221,202
0,1,4.38,4.49271,203
0,1,4.36,4.47321,204
0,1,4.34,4.45372,205
0,1,4.32,4.43423,206
0,1,4.3,4.41475,207
0,1,4.28,4.39527,208
0,1,4.26,4.3758,209
0,1,4.24,4.35633,210
0,1,4.22,4.33686,211
0,1,4.2,4.31741,212
0,1,4.18,4.29795,213
0,1,4.16,4.2785,214
0,1,4.14,4.25906,215
0,1,4.12,4.23962,216
0,1,4.1,4.22019,217
0,1,4.08,4.20076,218
0,1,4.06,4.18134,219
0,1,4.04,4.16192,220
0,1,4.02,4.14251,221
0,1,4,4.12311,222
0,1,3.976,4.09983,223
0,1,3.9472,4.0719,224
0,1,3.91264,4.03841,225
0,1,3.87117,3.99824,226
0,1,3.8214,3.95008,227
0,1,3.76168,3.89233,228
0,1,3.69002,3.82312,229
0,1,3.60402,3.74018,230
0,1,3.50083,3.64085,231
0,1,3.37699,3.52194,232
0,1,3.22839,3.37972,233
0,1,3.05007,3.20982,234
0,1,2.83608,3.00722,235
0,1,2.5793,2.76637,236
0,1,2.27116,2.48156,237
0,1,1.65488,1.93355,238
0,1,0.422315,1.08552,239
0,1,-1.38512,1.70838,240
0,1,-3.19256,3.34551,241
0,1,-5,5.09902,242
0,1,-7,7.07107,243
0,1,-9,9.05539,244
0,1,-11,11.0454,245
0,1,-13,13.0384,246
0,1,-15,15.0333,247
0,1,-17,17.0294,248
0,1,-19,19.0263,249
0,1,-21,21.0238,250
0,1,-23,23.0217,251
0,1,-25,25.02,252
0,1,-27,27.0185,253
0,1,-29,29.0172,254
0,1,-31,31.0161,255
0,1,-33,33.0151,256
0,1,-35,35.0143,257
1,1,5,5.19615,258
1,1,4.98,5.17691,259
1,1,4.96,5.15767,260
1,1,4.94,5.13844,261
1,1,4.92,5.11922,262
1,1,4.9,5.1,263
1,1,4.88,5.08079,264
1,1,4.86,5.06158,265
1,1,4.84,5.04238,266
1,1,4.82,5.02319,267
1,1,4.8,5.004,268
1,1,4.78,4.98482,269
1,1,4.76,4.96564,270
1,1,4.74,4.94647,271
1,1,4.72,4.92731,272
1,1,4.7,4.90816,273
